TableNumber,ImageNumber,ObjectNumber,Class,Nuclei_AreaShape_Area,Nuclei_AreaShape_Eccentricity,Nuclei_AreaShape_Solidity,Nuclei_AreaShape_Extent,Nuclei_AreaShape_EulerNumber,Nuclei_AreaShape_Perimeter,Nuclei_AreaShape_FormFactor,Nuclei_AreaShape_MajorAxisLength,Nuclei_AreaShape_MinorAxisLength,Nuclei_AreaShape_Orientation,Nuclei_Zernike_0_0,Nuclei_Zernike_1_1,Nuclei_Zernike_2_0,Nuclei_Zernike_2_2,Nuclei_Zernike_3_1,Nuclei_Zernike_3_3,Nuclei_Zernike_4_0,Nuclei_Zernike_4_2,Nuclei_Zernike_4_4,Nuclei_Zernike_5_1,Nuclei_Zernike_5_3,Nuclei_Zernike_5_5,Nuclei_Zernike_6_0,Nuclei_Zernike_6_2,Nuclei_Zernike_6_4,Nuclei_Zernike_6_6,Nuclei_Zernike_7_1,Nuclei_Zernike_7_3,Nuclei_Zernike_7_5,Nuclei_Zernike_7_7,Nuclei_Zernike_8_0,Nuclei_Zernike_8_2,Nuclei_Zernike_8_4,Nuclei_Zernike_8_6,Nuclei_Zernike_8_8,Nuclei_Zernike_9_1,Nuclei_Zernike_9_3,Nuclei_Zernike_9_5,Nuclei_Zernike_9_7,Nuclei_Zernike_9_9,Nuclei_Intensity_IntegratedIntensity_CorrDAPI,Nuclei_Intensity_MeanIntensity_CorrDAPI,Nuclei_Intensity_StdIntensity_CorrDAPI,Nuclei_Intensity_MinIntensity_CorrDAPI,Nuclei_Intensity_MaxIntensity_CorrDAPI,Nuclei_Intensity_IntegratedIntensityEdge_CorrDAPI,Nuclei_Intensity_MeanIntensityEdge_CorrDAPI,Nuclei_Intensity_StdIntensityEdge_CorrDAPI,Nuclei_Intensity_MinIntensityEdge_CorrDAPI,Nuclei_Intensity_MaxIntensityEdge_CorrDAPI,Nuclei_Intensity_MassDisplacement_CorrDAPI,Nuclei_Intensity_LowerQuartileIntensity_CorrDAPI,Nuclei_Intensity_MedianIntensity_CorrDAPI,Nuclei_Intensity_UpperQuartileIntensity_CorrDAPI,Nuclei_Neighbors_NumberOfNeighbors_10,Nuclei_Neighbors_PercentTouching_10,Nuclei_Neighbors_FirstClosestXVector_10,Nuclei_Neighbors_FirstClosestYVector_10,Nuclei_Neighbors_SecondClosestXVector_10,Nuclei_Neighbors_SecondClosestYVector_10,Nuclei_Neighbors_AngleBetweenNeighbors_10,Nuclei_Neighbors_NumberOfNeighbors_20,Nuclei_Neighbors_PercentTouching_20,Nuclei_Neighbors_FirstClosestXVector_20,Nuclei_Neighbors_FirstClosestYVector_20,Nuclei_Neighbors_SecondClosestXVector_20,Nuclei_Neighbors_SecondClosestYVector_20,Nuclei_Neighbors_AngleBetweenNeighbors_20,Nuclei_Texture_AngularSecondMoment_CorrDAPI_10,Nuclei_Texture_Contrast_CorrDAPI_10,Nuclei_Texture_Correlation_CorrDAPI_10,Nuclei_Texture_Variance_CorrDAPI_10,Nuclei_Texture_InverseDifferenceMoment_CorrDAPI_10,Nuclei_Texture_SumAverage_CorrDAPI_10,Nuclei_Texture_SumVariance_CorrDAPI_10,Nuclei_Texture_SumEntropy_CorrDAPI_10,Nuclei_Texture_Entropy_CorrDAPI_10,Nuclei_Texture_DifferenceVariance_CorrDAPI_10,Nuclei_Texture_DifferenceEntropy_CorrDAPI_10,Nuclei_Texture_InfoMeas1_CorrDAPI_10,Nuclei_Texture_InfoMeas2_CorrDAPI_10,Nuclei_Texture_GaborX_CorrDAPI_10,Nuclei_Texture_GaborY_CorrDAPI_10,Nuclei_Texture_AngularSecondMoment_CorrDAPI_3,Nuclei_Texture_Contrast_CorrDAPI_3,Nuclei_Texture_Correlation_CorrDAPI_3,Nuclei_Texture_Variance_CorrDAPI_3,Nuclei_Texture_InverseDifferenceMoment_CorrDAPI_3,Nuclei_Texture_SumAverage_CorrDAPI_3,Nuclei_Texture_SumVariance_CorrDAPI_3,Nuclei_Texture_SumEntropy_CorrDAPI_3,Nuclei_Texture_Entropy_CorrDAPI_3,Nuclei_Texture_DifferenceVariance_CorrDAPI_3,Nuclei_Texture_DifferenceEntropy_CorrDAPI_3,Nuclei_Texture_InfoMeas1_CorrDAPI_3,Nuclei_Texture_InfoMeas2_CorrDAPI_3,Nuclei_Texture_GaborX_CorrDAPI_3,Nuclei_Texture_GaborY_CorrDAPI_3
3,3134,59,earlyprophase,483.0,0.798766,0.909605,0.644,1.0,92.5269,0.693879,32.4351,19.5143,32.368,0.653032,0.26866,0.166801,0.0905814,0.139617,0.0549632,0.0181812,0.00766487,0.0267666,0.0435923,0.0325765,0.0134735,0.0146373,0.0128654,0.0182727,0.0129084,0.0106525,0.0189824,0.0238184,0.0122729,0.0086037,0.00402427,0.00297094,0.00833633,0.00931859,0.0171581,0.0105601,0.0129704,0.00954993,0.0063922,72.6208,0.150354,0.0424901,0.0392232,0.248452,8.76983,0.105661,0.0527191,0.0392232,0.190375,3.90072,0.134504,0.16023,0.179003,1.0,66.9811,-11.7079,-13.2036,-50.0712,5.19975,54.3645,2.0,100.0,-11.7079,-13.2036,-50.0712,5.19975,54.3645,0.0615661,5.36614,0.0740213,1.66731,0.417282,9.97244,4.98743,2.08488,3.13699,2.15725,1.66142,-0.0787575,0.498762,18.1102,19.9036,0.0746708,1.85784,0.625156,1.6322,0.584054,9.95588,6.92452,2.23616,3.00215,0.857843,1.25948,-0.169136,0.669909,0.264379,1.18886
3,94,76,earlyprophase,1364.0,0.551089,0.972202,0.738095,1.0,141.64,0.84245,45.9419,38.336,-43.7221,0.871457,0.349015,0.094758,0.044757,0.129252,0.076197,0.046343,0.0205283,0.0144629,0.0256005,0.0498768,0.015538,0.0117429,0.0133344,0.00969014,0.00561946,0.0178805,0.0120377,0.0334669,0.0115878,0.000793048,0.00604318,0.00309607,0.00327137,0.00283221,0.0137748,0.0142571,0.0100609,0.0169576,0.00411379,236.797,0.173605,0.0617637,0.0374122,0.286579,6.65686,0.0541208,0.00822079,0.0374122,0.0749517,0.0706922,0.131903,0.189199,0.218995,1.0,16.1677,-43.8736,2.8067,50.0355,14.0603,160.644,3.0,41.9162,-43.8736,2.8067,50.0355,14.0603,160.644,0.0403986,6.02612,0.0801149,2.97201,0.438487,10.5904,7.06524,2.33495,3.59114,2.78462,1.74073,-0.0692246,0.479188,5.67274,6.39124,0.0460289,2.20726,0.655707,3.18291,0.574635,10.3589,10.614,2.49868,3.45716,1.06891,1.32327,-0.177616,0.700255,2.48876,1.69121
7,3201,723,earlyprophase,538.0,0.690754,0.892206,0.62704,1.0,95.2548,0.729705,31.4936,22.7727,15.8726,0.663739,0.264666,0.178864,0.0637094,0.145671,0.0218014,0.0359671,0.0225368,0.0287552,0.0294822,0.0324098,0.0238286,0.006016,0.0140287,0.0118685,0.0115239,0.0213847,0.0337872,0.0209362,0.00534222,0.010246,0.0139896,0.00239897,0.00257352,0.00309946,0.0177173,0.00449449,0.0141496,0.00591242,0.0032436,111.796,0.207799,0.09301,0.0430119,0.426882,9.8838,0.120534,0.087002,0.0430119,0.325543,6.25719,0.136789,0.210197,0.276857,4.0,93.8053,7.65107,14.6491,-13.1528,-23.5436,178.387,4.0,100.0,7.65107,14.6491,-13.1528,-23.5436,178.387,0.0319576,7.91892,-0.0450498,3.20996,0.269634,8.58108,6.4191,2.32915,3.62928,2.06775,1.74475,-0.111918,0.59207,32.696,35.6537,0.033086,2.829,0.570935,3.40292,0.494201,8.46537,10.2661,2.51381,3.59379,1.12547,1.41274,-0.159105,0.682424,3.99561,5.53416
8,546,19,earlyprophase,1324.0,0.617629,0.980741,0.777908,1.0,135.054,0.898827,46.3368,36.4424,-0.94722,0.795523,0.336564,0.148391,0.0727686,0.142921,0.00853685,0.0648599,0.018693,0.0149382,0.01311,0.059811,0.0118451,0.00517861,0.0164429,0.0119363,0.00136625,0.0240404,0.0338738,0.00924225,0.00396701,0.0125113,0.0191348,0.00296613,0.00605541,0.00209974,0.0146079,0.00396544,0.0230651,0.0106986,0.00175036,243.599,0.183987,0.0706392,0.0357781,0.347454,6.16574,0.053153,0.00659619,0.0357781,0.0673378,2.62031,0.145279,0.189671,0.23521,0.0,0.0,7.58667,77.3723,-83.7274,61.8811,59.1329,0.0,0.0,7.58667,77.3723,-83.7274,61.8811,59.1329,0.034595,4.89666,0.172702,2.91319,0.39624,9.58351,6.94031,2.34107,3.58857,1.72915,1.61112,-0.0742133,0.492161,11.61,20.6376,0.0455528,1.71641,0.699031,2.8336,0.568178,9.10965,9.68872,2.50334,3.35478,0.704831,1.19558,-0.1997,0.724542,1.70693,1.61182
3,501,8,earlyprophase,990.0,0.624231,0.874558,0.625,1.0,136.711,0.656009,41.8351,32.6832,1.82056,0.647989,0.2592,0.161819,0.052897,0.140623,0.0184154,0.0308274,0.0396736,0.0179808,0.0249057,0.030803,0.0137989,0.00148736,0.0199583,0.0148274,0.00747838,0.0288656,0.0276691,0.0235862,0.00731079,0.0126996,0.017148,0.00513486,0.00495363,0.00756776,0.0203724,0.0107492,0.0157488,0.00385186,0.00671554,195.134,0.197105,0.0744614,0.0410013,0.360259,10.894,0.0939135,0.0653354,0.0410013,0.261308,2.05685,0.15514,0.214131,0.248115,3.0,66.6667,-12.8029,15.2864,10.8628,23.0255,65.2041,4.0,84.8485,-12.8029,15.2864,10.8628,23.0255,65.2041,0.0413178,5.82989,0.0197187,2.74253,0.426191,9.5787,5.964,2.25815,3.53855,2.53933,1.7176,-0.0376025,0.359362,15.0621,15.4425,0.0457832,2.60505,0.542819,2.72586,0.523381,9.42021,8.73961,2.41462,3.4298,1.11559,1.38413,-0.119264,0.595609,1.66237,3.52335
7,3340,639,earlyprophase,1050.0,0.414672,0.976744,0.788288,1.0,119.154,0.913946,38.3616,34.9079,-64.1157,0.977205,0.404115,0.0286312,0.0155323,0.105652,0.0903413,0.0233737,0.0117228,0.00726797,0.0220313,0.0345819,0.0298484,0.0169451,0.00725124,0.00480624,0.00277963,0.0297275,0.0204769,0.0249125,0.0206417,0.0106007,0.00328637,0.00263972,0.00151274,0.00259666,0.00803555,0.0143043,0.00933251,0.0140071,0.00976659,176.566,0.168158,0.0592656,0.0407303,0.293448,5.68846,0.0552278,0.00938814,0.0407303,0.0788385,4.46827,0.127112,0.182615,0.210727,4.0,53.5211,-14.7628,-31.0601,24.2593,-28.7014,65.6272,6.0,100.0,-14.7628,-31.0601,24.2593,-28.7014,65.6272,0.039308,6.58088,-0.0492662,3.25501,0.381031,9.89853,5.91764,2.24213,3.59483,2.575,1.74974,-0.0530768,0.425795,17.7942,13.6505,0.0467279,2.53781,0.56353,2.98623,0.532144,9.70288,9.08211,2.44241,3.40665,1.11259,1.36938,-0.147331,0.64687,1.99992,1.99408
5,3359,63,earlyprophase,1043.0,0.737116,0.959522,0.740767,1.0,125.154,0.82355,44.6202,30.1528,17.3682,0.682268,0.290093,0.167122,0.0912905,0.137036,0.0341107,0.0240165,0.0152351,0.0146467,0.0348632,0.0358285,0.00596231,0.013396,0.0242411,0.00913718,0.0058549,0.0210984,0.0323135,0.00954629,0.00598348,0.00270261,0.00627155,0.00971205,0.00464263,0.00517783,0.0110356,0.0122616,0.0233009,0.0025295,0.00474424,200.226,0.191971,0.0729815,0.0411988,0.388852,7.72397,0.0708621,0.0284627,0.0411988,0.153418,4.06793,0.141139,0.20428,0.244445,3.0,68.7075,3.23434,-27.4166,1.95119,30.2968,169.587,3.0,100.0,3.23434,-27.4166,1.95119,30.2968,169.587,0.0361225,5.0096,0.0422374,2.45816,0.38878,8.78464,5.3816,2.22876,3.52881,1.7409,1.63402,-0.0441836,0.387936,19.4428,27.0345,0.0449449,1.84266,0.6231,2.41924,0.558476,8.45935,7.93367,2.40914,3.35377,0.7564,1.228,-0.15548,0.657585,5.35443,4.44525
3,25,113,earlyprophase,2088.0,0.558491,0.940964,0.690476,1.0,185.924,0.75095,57.0279,47.3052,-37.4216,0.840196,0.340207,0.117348,0.0623648,0.140712,0.0413732,0.0550699,0.0167357,0.0211196,0.0181066,0.0516065,0.0358169,0.0112044,0.0128293,0.00394435,0.0073923,0.0259566,0.025737,0.0276334,0.00877522,0.00296741,0.0152936,0.00722797,0.00521839,0.00714208,0.0150305,0.00686872,0.0129562,0.0130588,0.0117095,254.575,0.121923,0.0388763,0.0407524,0.236896,9.10228,0.057247,0.00848625,0.0407524,0.0807493,0.170689,0.0959994,0.120547,0.145906,1.0,4.91071,-48.0446,-22.8978,-83.9705,-11.2827,17.8295,1.0,23.6607,-48.0446,-22.8978,-83.9705,-11.2827,17.8295,0.0358576,4.43186,0.13363,2.62771,0.430258,8.23736,5.79842,2.27801,3.65267,1.72191,1.60523,-0.0226137,0.28416,4.10028,5.04394,0.0473097,1.90099,0.604059,2.38808,0.576836,7.96456,7.70067,2.38934,3.37884,0.86418,1.26678,-0.140521,0.632662,2.23502,2.33251
3,3362,146,earlyprophase,766.0,0.710817,0.905437,0.633581,1.0,113.74,0.731153,38.5809,27.1369,21.8793,0.654562,0.27992,0.146059,0.078183,0.126166,0.0206333,0.0118458,0.0172369,0.0072921,0.0327323,0.0254392,0.00871456,0.00214692,0.0129114,0.00353933,0.0104224,0.0266583,0.0219852,0.0141668,0.00775303,0.000219766,0.0080948,0.00115423,0.00916434,0.00456869,0.0148925,0.0114071,0.0111619,0.005115,0.00112456,160.456,0.209473,0.0739159,0.0419866,0.33903,10.7869,0.11007,0.0789285,0.0419866,0.269165,7.25759,0.165211,0.234129,0.264921,2.0,50.3704,8.84817,15.809,-42.9471,11.2591,104.545,3.0,82.2222,8.84817,15.809,-42.9471,11.2591,104.545,0.0463154,7.59653,-0.0967569,3.75012,0.389896,10.9675,6.22671,2.19585,3.41473,3.18744,1.80701,-0.0537099,0.416955,21.642,21.4991,0.0591461,2.51857,0.594818,3.33884,0.532707,10.7533,9.6717,2.35821,3.20565,1.10201,1.36159,-0.185298,0.699289,1.23907,1.58589
0,4,215,earlyprophase,1285.0,0.4844,0.983168,0.764426,1.0,131.882,0.91449,43.2864,37.869,40.9543,0.961814,0.40162,0.0335601,0.0310603,0.106121,0.0716221,0.0259956,0.0242519,0.00914662,0.0276719,0.0466139,0.0373404,0.0170235,0.0163299,0.0032487,0.00502642,0.0295073,0.0174868,0.0229989,0.0179856,0.00854068,0.00911608,0.00236564,0.00151251,0.00220972,0.0109447,0.012542,0.00828664,0.0162499,0.0112479,271.043,0.210929,0.0873889,0.0398945,0.395285,6.00669,0.0536312,0.00592997,0.0398945,0.0780312,0.277996,0.148402,0.228437,0.277278,2.0,42.5,22.7915,26.6995,-42.7107,-20.1337,155.724,3.0,79.375,22.7915,26.6995,-42.7107,-20.1337,155.724,0.0336309,5.49943,0.166325,3.38772,0.418746,9.6311,7.69252,2.38327,3.67101,2.24634,1.69978,-0.0286602,0.319517,20.8225,19.2196,0.0395647,2.45783,0.610945,3.18588,0.522307,9.32358,10.1758,2.49436,3.48343,1.02278,1.35529,-0.143862,0.646031,0.70655,1.19478
